,OBJECTID,NAME,DIST_TYPE,TOOLTIP,Shape_Length,Shape_Area
0,3,Colorado Boulevard,SPA,Name: Colorado Boulevard,9957.938482389549,719670.7879146821
1,10,University of Southern California,SPA,Name: University of Southern California,6589.55020712195,1393722.3209123001
2,17,Porter Ranch Land Use / Transportation,SPA,Name: Porter Ranch Land Use / Transportation,14288.213292736102,8391251.89117724
3,33,North University Park,SPA,Name: North University Park,3008.2758995340196,574308.09864276
4,38,Foothill Boulevard Corridor,SPA,Name: Foothill Boulevard Corridor,23390.061044057,4239409.42343124
5,44,Cornfield / Arroyo Seco,SPA,Name: Cornfield / Arroyo Seco,12787.7381442219,3558651.74134943
6,50,Alameda,SPA,Name: Alameda,5563.32736227169,433776.96312936797
7,60,Los Angeles Airport / El Segundo Dunes,SPA,Name: Los Angeles Airport / El Segundo Dunes,7853.711074514201,1992227.95062473
8,66,Playa Vista (Area B),SPA,Name: Playa Vista (Area B),7814.9535895257095,2312798.97129375
9,69,Valley Village,SPA,Name: Valley Village,11155.0124137986,7039256.15800369
10,74,Wilshire / Westwood Scenic Corridor,SPA,Name: Wilshire / Westwood Scenic Corridor,5806.561259901619,454054.200044495
11,76,San Gabriel/Verdugo Mountains,SPA,Name: San Gabriel/Verdugo Mountains,83414.8605940383,89130985.4035684
12,81,Mulholland Scenic Parkway (Inner Corridor),SPA,Name: Mulholland Scenic Parkway (Inner Corridor),77941.8785905682,17875361.434879802
13,82,South Los Angeles Alcohol Sales,SPA,Name: South Los Angeles Alcohol Sales,96387.53283936241,148501763.92725602
14,85,Century City North,SPA,Name: Century City North,5621.54287393658,1125126.45194051
15,86,Oxford Triangle,SPA,Name: Oxford Triangle,3676.9582803757203,617539.801774941
16,90,Westwood Community Design Review Board,SPA,Name: Westwood Community Design Review Board,27879.9107216704,2547091.97065264
17,92,Crenshaw Corridor,SPA,Name: Crenshaw Corridor,27110.062285157,2194142.9724586997
18,93,San Pedro,SPA,Name: San Pedro,23937.226562751803,8163180.6352522
19,101,Hollywoodland,SPA,Name: Hollywoodland,8343.40663207247,1119792.26119465
20,103,LAX,SPA,Name: LAX,31736.493482793197,20949220.2303282
21,104,Westwood Village,SPA,Name: Westwood Village,2728.26528013428,322448.95461723604
22,112,Mount Washington - Glassell Park,SPA,Name: Mount Washington - Glassell Park,13391.994600041498,10374610.2481706
23,120,Los Angeles Coastal Transportation Corridor,SPA,Name: Los Angeles Coastal Transportation Corridor,76977.818940779,81993914.661009
24,131,Playa Vista (Area C),SPA,Name: Playa Vista (Area C),3253.6571400488897,510835.386626913
25,132,West Los Angeles Transportation Improvement and Mitigation,SPA,Name: West Los Angeles Transportation Improvement and Mitigation,50623.5991139345,58070413.0346295
26,140,Ventura / Cahuenga Boulevard Corridor,SPA,Name: Ventura / Cahuenga Boulevard Corridor,85395.8975058733,7559947.3708083
27,142,Central City West,SPA,Name: Central City West,9816.44859992219,2902310.13598183
28,143,Venice Coastal Zone,SPA,Name: Venice Coastal Zone,17528.0152643841,8539850.96890653
29,146,Valley Circle Boulevard - Plummer Street Scenic Corridor,SPA,Name: Valley Circle Boulevard - Plummer Street Scenic Corridor,17748.793303603798,7430201.69005606
30,151,Glencoe / Maxella,SPA,Name: Glencoe / Maxella,3061.13886758234,547448.736144154
31,157,Granada Hills,SPA,Name: Granada Hills,17651.035322082902,1530776.53278566
32,161,San Vicente Scenic Corridor,SPA,Name: San Vicente Scenic Corridor,8912.3867692489,675005.234336379
33,163,Devonshire / Topanga Corridor,SPA,Name: Devonshire / Topanga Corridor,10874.6271159337,770385.2573519159
34,168,North Westwood Village,SPA,Name: North Westwood Village,3554.8212137554797,599508.4658096271
35,169,Warner Center,SPA,Name: Warner Center,11285.5263992248,6369934.39450389
36,173,Avenue 57,SPA,Name: Avenue 57,8108.42202234749,1393909.89345267
37,174,Bunker Hill,SPA,Name: Bunker Hill,4114.79819268206,764004.388853763
38,178,Loyola Marymount University,SPA,Name: Loyola Marymount University,5381.43471904841,876032.99878368
39,179,Convention and Event Center,SPA,Name: Convention and Event Center,3008.77247844966,451614.009189435
40,182,Del Rey Lagoon (Proposed),SPA,Name: Del Rey Lagoon (Proposed),5883.810262834821,994162.1109225191
41,187,Park Mile,SPA,Name: Park Mile,7000.54654154078,1455152.33686098
42,190,Los Angeles Sports and Entertainment District,SPA,Name: Los Angeles Sports and Entertainment District,3156.51386993688,216538.994677613
43,194,Vermont / Western Station Neighborhood Area Plan,SPA,Name: Vermont / Western Station Neighborhood Area Plan,20852.0560517427,8352298.42242808
44,195,Westwood Community Plan Multiple Family Residential Development Standards,SPA,Name: Westwood Community Plan Multiple Family Residential Development Standards,23758.3218865542,1625134.55022577
45,199,Pacific Palisades Commercial Village and Neighborhoods,SPA,Name: Pacific Palisades Commercial Village and Neighborhoods,6197.37825388703,372218.747802654
46,202,Sepulveda Corridor,SPA,Name: Sepulveda Corridor,1285.00618888782,41634.6546167761
47,203,Coastal Bluffs,SPA,Name: Coastal Bluffs,8843.09721282089,929829.452049992
48,219,Century City South,SPA,Name: Century City South,3206.50504391907,500232.506780624
49,220,Mulholland Scenic Parkway (Outer Corridor),SPA,Name: Mulholland Scenic Parkway (Outer Corridor),151415.884210096,55276033.9247105
50,223,Girard Tract,SPA,Name: Girard Tract,7572.989285004201,3086343.23996074
51,228,Playa Vista (Area D),SPA,Name: Playa Vista (Area D),10492.0918997469,2464203.4046633
